µPMU location,PSL-Alameda,
µPMU latitude,44.47915,
µPMU longitude,-73.19798,
sample interval (msec),date stamp,time stamp,status,L1-E voltage RMS fundamental magnitude,L1-E voltage fundamental angle,L2-E voltage RMS fundamental magnitude,L2-E voltage fundamental angle,L3-E voltage RMS fundamental magnitude,L3-E voltage fundamental angle,L1 current RMS fundamental magnitude,L1 current fundamental angle,L2 current RMS fundamental magnitude,L2 current fundamental angle,L3 current RMS fundamental magnitude,L3 current fundamental angle,center frequency offset,disciplined vs GPS pps difference,ppl state,pps prd,gps alt,gps hasfix,gps hdop,gps lat,gps lon,gps satellites,gps state,fundamental W total,fundamental VAR total,fundamental VA total,fundamental dPF total,frequency one second L1-E,frequency C37 L1-E,
8.333333,2023/10/5,19:0:0.2333333,34,121.5298,322.2999,0.08559874,7.754177,0.06781761,49.51505,0.0001146147,53.60417,1.454482E-05,34.01698,1.473413E-13,89.67923,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0003159329,-0.01392603,0.01393034,-0.02267949,60.02862,60.02364,
8.333333,2023/10/5,19:0:0.2416667,34,121.5393,322.4239,0.08506552,9.325162,0.06423965,46.62594,0.0001189507,54.80346,1.657853E-05,23.74157,3.277456E-12,54.82065,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0005988975,-0.01444507,0.0144586,-0.04142154,60.02863,60.03308,
8.333333,2023/10/5,19:0:0.2500000,34,121.4278,322.4413,0.09300496,9.572116,0.0706216,45.03904,0.0001139359,51.43972,1.576317E-05,20.94075,1.798811E-12,77.16228,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,0.0002432668,-0.01383316,0.01383645,0.01758159,60.02852,60.01774,
8.333333,2023/10/5,19:0:0.2583333,34,121.5512,322.5118,0.09559584,9.768069,0.0667698,48.153,0.0001172621,54.55091,1.431344E-05,28.75491,5.893145E-12,226.6565,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0005058678,-0.01424478,0.01425473,-0.03548772,60.02853,60.01997,
8.333333,2023/10/5,19:0:0.2666667,34,121.5475,322.6331,0.08503054,9.696237,0.06921524,49.44036,0.0001110249,55.60465,1.479186E-05,19.58601,2.118857E-12,253.8827,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.00069832,-0.01347687,0.01349606,-0.05174251,60.02851,60.0319,
8.333333,2023/10/5,19:0:0.2750000,34,121.6064,322.6856,0.08491255,11.21813,0.06765,46.78257,0.000119856,56.31687,1.211048E-05,34.77502,7.24267E-12,46.14385,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0009221728,-0.01454641,0.01457628,-0.06326529,60.02853,60.02499,
8.333333,2023/10/5,19:0:0.2833333,34,121.5003,322.8611,0.09386274,3.20251,0.0652366,45.53204,0.0001115543,53.92725,1.778646E-05,39.0895,2.67891E-12,74.26743,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0002508439,-0.01355251,0.01355555,-0.01850489,60.0287,60.04438,
8.333333,2023/10/5,19:0:0.2916667,34,121.3703,322.8701,0.1164459,358.2703,0.06687739,47.43751,0.0001170524,54.89164,1.108373E-05,27.61362,9.066305E-12,226.2624,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.000500005,-0.01419848,0.01420798,-0.03519185,60.02845,60.02111,
8.333333,2023/10/5,19:0:0.3000000,34,121.51,322.9843,0.09174518,4.617431,0.06371397,46.16648,0.0001122097,50.50477,1.196956E-05,27.67322,3.433332E-12,254.334,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,0.0005908746,-0.01362226,0.01363569,0.04333295,60.0286,60.02958,
8.333333,2023/10/5,19:0:0.3083333,34,121.5354,323.019,0.07406163,17.63633,0.06663278,45.93916,0.0001218227,55.60429,1.187989E-05,39.34195,1.157279E-11,46.72282,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0006670132,-0.01479103,0.01480665,-0.04504821,60.02851,60.01867,
8.333333,2023/10/5,19:0:0.3166667,34,121.6515,323.1104,0.06872569,19.33634,0.0654858,48.63404,0.00011397,53.14476,1.250155E-05,40.3016,4.387747E-12,72.66573,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-7.498154E-06,-0.01386493,0.01386548,-0.0005407785,60.02849,60.02556,
8.333333,2023/10/5,19:0:0.3250000,34,121.597,323.2451,0.07433094,15.13527,0.06708705,49.38995,0.0001186895,54.06393,1.685354E-05,22.10994,1.504188E-11,226.2079,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0002050175,-0.01443096,0.01443354,-0.01420424,60.02858,60.03722,
8.333333,2023/10/5,19:0:0.3333333,34,121.5619,323.3083,0.07397272,10.72341,0.06846186,45.77085,0.000112405,55.12678,1.536294E-05,21.48811,5.950827E-12,253.7388,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0004324836,-0.0136575,0.01366531,-0.03164829,60.02853,60.02916,
8.333333,2023/10/5,19:0:0.3416667,34,121.6142,323.3803,0.07802526,15.03605,0.06848439,47.02433,0.0001235692,56.36295,1.122155E-05,24.75236,2.006435E-11,46.80732,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0007810812,-0.01500756,0.01502864,-0.05197284,60.02846,60.02521,
8.333333,2023/10/5,19:0:0.3500000,34,121.573,323.4838,0.08077252,10.89336,0.07005978,50.80065,0.0001133234,54.17632,1.762568E-05,27.51372,8.257459E-12,72.22656,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0001651554,-0.01377646,0.01377848,-0.01198647,60.02852,60.03001,
8.333333,2023/10/5,19:0:0.3583333,34,121.5576,323.542,0.09370594,10.31833,0.06610822,43.42657,0.0001178694,56.21136,1.479823E-05,27.08912,2.786998E-11,226.8917,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0006659595,-0.01431278,0.01432931,-0.04647532,60.0285,60.02439,
8.333333,2023/10/5,19:0:0.3666667,34,121.5554,323.649,0.0851508,10.5491,0.06441136,46.9505,0.0001133563,57.76424,1.178651E-05,26.60096,1.199603E-11,253.3296,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.000987865,-0.01374382,0.01378007,-0.07168796,60.02856,60.03067,
8.333333,2023/10/5,19:0:0.3750000,34,121.5038,323.751,0.08877435,13.01136,0.06430041,50.6607,0.0001180051,54.39196,1.482111E-05,33.25716,4.854095E-11,56.13719,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.000159168,-0.01433762,0.01433938,-0.01110006,60.02867,60.03304,
8.333333,2023/10/5,19:0:0.3833333,34,121.5237,323.8202,0.07713637,13.39997,0.07089237,47.03687,0.0001147951,53.76644,1.569068E-05,30.75744,8.224711E-12,79.65141,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,1.423269E-05,-0.01395067,0.01395153,0.001020153,60.0286,60.0276,
8.333333,2023/10/5,19:0:0.3916667,34,121.5827,323.8828,0.08520317,11.39322,0.06528992,47.03259,0.0001180502,57.1068,1.745306E-05,24.88224,4.943568E-11,224.7104,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0008057469,-0.01433049,0.01435435,-0.05613261,60.02861,60.02285,
8.333333,2023/10/5,19:0:0.4000000,34,121.6286,324.0037,0.07745094,15.67307,0.06759451,47.61246,0.0001162539,54.39462,1.287431E-05,34.67307,4.045865E-11,246.0325,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-9.554008E-05,-0.01413979,0.01414079,-0.006756344,60.02868,60.03274,
